Banda;Palco;DiaI;Inicio;DiaF;Fim;MB
Versengold;LOUDER;2019-08-01;14:30;2019-08-01;15:30;
Victims of Madness;BEERGARDEN STAGE;2019-07-31;11:00;2019-07-31;11:30;
Violons Barbares;WACKINGER STAGE;2019-07-31;20:00;2019-07-31;20:45;
Vltimas;W:E:T STAGE;2019-08-01;19:20;2019-08-01;20:20;
Vogelfrey;WASTELAND STAGE;2019-08-01;14:00;2019-08-01;14:45;
Warkings;WASTELAND STAGE;2019-08-02;16:30;2019-08-02;17:15;
Wiegedood;HEADBANGERS STAGE;2019-08-01;16:30;2019-08-01;17:15;
Windhand;WASTELAND STAGE;2019-08-01;19:15;2019-08-01;20:00;
Within Temptation;HARDER;2019-08-02;19:30;2019-08-02;20:45;
Witt;WACKINGER STAGE;2019-07-31;23:00;2019-07-31;00:00;
Zuriaake;WASTELAND STAGE;2019-08-02;23:00;2019-08-02;00:00;
